"economy"	"economycode"	"wpid_random"	"wgt"	"female"	"age"	"educ"	"inc_q"	"account"	"account_fin"	"account_mob"	"q2"	"q3"	"q4"	"q5"	"q6"	"q8a"	"q8b"	"q8c"	"q8d"	"q8e"	"q8f"	"q8g"	"q8h"	"q8i"	"q9"	"q10"	"q11"	"q12"	"q13"	"q14"	"q16"	"q17a"	"q17b"	"q17c"	"q18a"	"q18b"	"q20"	"q21a"	"q21b"	"q21c"	"q21d"	"q22a"	"q22b"	"q22c"	"q24"	"q25"	"q26"	"q27a"	"q27b"	"q27c"	"q27d"	"q28"	"q29a"	"q29b"	"q29c"	"q29d"	"q30"	"q31a"	"q31b"	"q31c"	"q32"	"q33a"	"q33b"	"q33c"	"q34"	"q35"	"q36a"	"q36bc"	"q36d"	"q37"	"q38"	"q39"	"q40a"	"q40bc"	"q40d"	"q41"	"q42"	"q43"	"q44a"	"q44b"	"q44c"	"saved"	"borrowed"
"Mexico"	"MEX"	138634008	1.38401185604355	"1 male"	"28"	"secondary"	"1 poorest 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"no"							"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"(dk)"	"no"	"no"	"no"	"3 not very possible"	"1 savings"	"no"					"no"					"yes"	"no"	"no"	"no"	"yes"	"yes"	"no"	"no"	"no"							"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	154492363	1.57531333077836	"1 male"	"20"	"secondary"	"4 fourth 20%"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"										"yes"	"1 one or two times per month"	"yes"	"1 one or two times per month"	"1 you get it at an atm"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"no"	"no"	"yes"	"no"	"no"	"1 very possible"	"2 family, relatives, or friends"	"no"					"no"					"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"2 over time as needed"	"1 you had this account before you began receiving payments from an employer."	"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	114185899	1.17095494823494	"2 female"	"31"	"secondary"	"4 fourth 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"no"	"yes"							"no"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"no"	"3 not very possible"	"5 (a/an [insert local terminology for private lenders (i.e., loan shark or pawn shop)])"	"no"					"no"					"yes"	"no"	"no"	"no"	"no"				"no"							"yes"	"no"	"no"	"no"			"no"				"yes"	"yes"
"Mexico"	"MEX"	123528382	0.740468456595941	"2 female"	"39"	"completed tertiary or more"	"4 fourth 20%"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"										"yes"	"1 one or two times per month"	"yes"	"1 one or two times per month"	"2 you get it over the counter in a branch of your financial institution"	"yes"	"yes"	"yes"	"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"no"	"yes"	"no"	"yes"	"1 very possible"	"1 savings"	"yes"	"yes"	"yes"	"no"	"no"	"no"					"yes"	"no"	"yes"	"no"	"yes"	"yes"	"yes"	"no"	"no"							"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	159963082	1.57531333077836	"1 male"	"21"	"secondary"	"3 middle 20%"	"yes"	"yes"	"no"	"no"			"yes"	"yes"										"yes"	"1 one or two times per month"	"yes"	"1 one or two times per month"	"1 you get it at an atm"	"yes"	"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"1 very possible"	"2 family, relatives, or friends"	"no"					"no"					"yes"	"yes"	"no"	"no"	"no"				"no"							"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	155928449	0.585477474117469	"2 female"	"34"	"secondary"	"2 second 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"no"	"yes"							"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"no"	"3 not very possible"	"2 family, relatives, or friends"	"no"					"no"					"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"no"	"no"							"no"						"no"				"yes"	"no"
"Mexico"	"MEX"	172380873	0.632063599076388	"2 female"	"49"	"secondary"	"2 second 20%"	"no"	"no"	"no"	"no"			"no"		"no"	"yes"	"no"	"yes"	"no"	"no"	"no"	"no"	"yes"							"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"	"yes"	"no"	"yes"	"no"	"no"	"2 somewhat possible"	"2 family, relatives, or friends"	"no"					"no"					"yes"	"yes"	"no"	"no"	"no"				"no"							"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	165070568	0.392181113134058	"2 female"	"37"	"secondary"	"4 fourth 20%"	"no"	"no"	"no"	"no"			"yes"	"no"	"no"	"yes"	"no"	"yes"	"no"	"no"	"no"	"no"	"no"							"no"	"no"	"no"	"yes"	"no"	"no"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"no"	"no"	"2 somewhat possible"	"2 family, relatives, or friends"	"no"					"no"					"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"no"	"no"							"no"						"(dk)"				"yes"	"yes"
"Mexico"	"MEX"	206491575	0.92707804192137	"1 male"	"40"	"secondary"	"5 richest 20%"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"										"yes"	"1 one or two times per month"	"yes"	"1 one or two times per month"	"1 you get it at an atm"	"(dk)"	"no"	"no"	"yes"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"no"	"no"	"yes"	"yes"	"no"	"2 somewhat possible"	"1 savings"	"no"					"no"					"yes"	"yes"	"yes"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"no"	"no"	"yes"	"no"	"1 all of the money right away"	"2 you had an account before, but this account was opened so you could receive payments from an employer."	"no"						"no"				"yes"	"yes"
"Mexico"	"MEX"	173028622	1.11070268489391	"2 female"	"38"	"completed tertiary or more"	"5 richest 20%"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"										"yes"	"2 three or more times per month"	"yes"	"2 three or more times per month"	"1 you get it at an atm"	"no"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"	"no"	"yes"	"no"	"no"	"no"	"yes"	"yes"	"yes"	"2 somewhat possible"	"1 savings"	"no"					"no"					"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"no"	"yes"	"yes"	"no"	"yes"	"no"	"1 all of the money right away"	"2 you had an account before, but this account was opened so you could receive payments from an employer."	"no"						"no"				"yes"	"yes"
